date,weekday,UB1_Comdty_PX-LAST,UB1_Comdty_CURRENCY-EUR,UB1_Comdty_PX-LAST-CHF,imputed,UB1_Comdty_start
2004-03-03,Wednesday,86.82,1.5771,136.92382199999997,,
2004-03-04,Thursday,87.18,1.5769,137.474142,,
2004-03-05,Friday,88.17,1.57915,139.2336555,,start
2004-03-06,Saturday,,,139.2336555,imputed from 1890,
2004-03-07,Sunday,,,139.2336555,imputed from 1891,
2004-03-08,Monday,,1.5808,139.2336555,imputed from 1892,
2004-03-09,Tuesday,88.78,1.57885,140.17030300000002,,
2004-03-10,Wednesday,88.73,1.57485,139.73644050000001,,
2004-03-11,Thursday,88.95,1.56475,139.1845125,,
2004-03-12,Friday,88.97,1.56905,139.5983785,,start
2004-03-13,Saturday,,,139.5983785,imputed from 1897,
2004-03-14,Sunday,,,139.5983785,imputed from 1898,
2004-03-15,Monday,89.05,1.56475,139.3409875,,
2004-03-16,Tuesday,88.52,1.5682,138.817064,,
2004-03-17,Wednesday,88.81,1.5625,138.765625,,
2004-03-18,Thursday,89.01,1.55745,138.6286245,,
2004-03-19,Friday,88.92,1.5595,138.67074000000002,,start
2004-03-20,Saturday,,,138.67074000000002,imputed from 1904,
2004-03-21,Sunday,,,138.67074000000002,imputed from 1905,
2004-03-22,Monday,89.2,1.55125,138.3715,,
2004-03-23,Tuesday,89.0,1.55165,138.09685,,
2004-03-24,Wednesday,89.14,1.5493,138.104602,,
2004-03-25,Thursday,89.07,1.55295,138.3212565,,
2004-03-26,Friday,88.58,1.55775,137.985495,,start
2004-03-27,Saturday,,,137.985495,imputed from 1911,
2004-03-28,Sunday,,,137.985495,imputed from 1912,
2004-03-29,Monday,87.72,1.56125,136.95285,,
2004-03-30,Tuesday,87.87,1.55985,137.0640195,,
2004-03-31,Wednesday,88.04,1.55905,137.25876200000002,,
2004-04-01,Thursday,87.98,1.5621,137.433558,,
2004-04-02,Friday,87.03,1.5658,136.27157400000002,,start
2004-04-03,Saturday,,,136.27157400000002,imputed from 1918,
2004-04-04,Sunday,,,136.27157400000002,imputed from 1919,
2004-04-05,Monday,86.73,1.56695,135.9015735,,
2004-04-06,Tuesday,86.84,1.56235,135.674474,,
2004-04-07,Wednesday,87.15,1.55445,135.47031750000002,,
2004-04-08,Thursday,87.03,1.54975,134.8747425,,
2004-04-09,Friday,87.03,1.55035,134.92696049999998,imputed from 1924,start
2004-04-10,Saturday,,,134.92696049999998,imputed from 1925,
