date,weekday,UGL1_Comdty_PX-LAST,UGL1_Comdty_CURRENCY-GBP,UGL1_Comdty_PX-LAST-CHF,imputed,UGL1_Comdty_start
2022-05-05,Thursday,145.89,1.2176,177.635664,,
2022-05-06,Friday,142.6,1.2206,174.05755999999997,,start
2022-05-07,Saturday,,,174.05755999999997,imputed from 3083,
2022-05-08,Sunday,,,174.05755999999997,imputed from 3084,
2022-05-09,Monday,143.5,1.2255,175.85925,,
2022-05-10,Tuesday,146.25,1.2262,179.33175,,
2022-05-11,Wednesday,145.02,1.2178,176.605356,,
2022-05-12,Thursday,149.32,1.2239,182.752748,,
2022-05-13,Friday,148.16,1.2285,182.01456,,start
2022-05-14,Saturday,,,182.01456,imputed from 3090,
2022-05-15,Sunday,,,182.01456,imputed from 3091,
2022-05-16,Monday,148.49,1.2346,183.325754,,
2022-05-17,Tuesday,145.32,1.2412,180.371184,,
2022-05-18,Wednesday,145.67,1.2197,177.673699,,
2022-05-19,Thursday,145.77,1.2127,176.77527899999998,,
2022-05-20,Friday,145.32,1.2175,176.9271,,start
2022-05-21,Saturday,,,176.9271,imputed from 3097,
2022-05-22,Sunday,,,176.9271,imputed from 3098,
2022-05-23,Monday,142.62,1.2159,173.41165800000002,,
2022-05-24,Tuesday,145.16,1.2034,174.685544,,
2022-05-25,Wednesday,143.42,1.2092,173.423464,,
2022-05-26,Thursday,141.33,1.2093,170.91036900000003,,
2022-05-27,Friday,142.46,1.2092,172.26263200000002,,start
2022-05-28,Saturday,,,172.26263200000002,imputed from 3104,
2022-05-29,Sunday,,,172.26263200000002,imputed from 3105,
2022-05-30,Monday,141.04,1.211,170.79944,,
2022-05-31,Tuesday,138.8,1.209,167.80920000000003,,
2022-06-01,Wednesday,136.79,1.2026,164.50365399999998,,
2022-06-02,Thursday,136.79,1.2047,164.79091300000002,,
2022-06-03,Friday,136.79,1.2018,164.39422199999998,,start
2022-06-04,Saturday,,,164.39422199999998,imputed from 3111,
2022-06-05,Sunday,,,164.39422199999998,imputed from 3112,
2022-06-06,Monday,134.53,1.2166,163.669198,,
2022-06-07,Tuesday,136.36,1.2249,167.02736400000003,,
2022-06-08,Wednesday,135.47,1.2268,166.194596,,
2022-06-09,Thursday,134.43,1.2245,164.609535,,
2022-06-10,Friday,133.15,1.2168,162.01692000000003,,start
2022-06-11,Saturday,,,162.01692000000003,imputed from 3118,
2022-06-12,Sunday,,,162.01692000000003,imputed from 3119,
2022-06-13,Monday,131.3,1.2106,158.95178,,
2022-06-14,Tuesday,129.69,1.2016,155.835504,,
2022-06-15,Wednesday,130.85,1.2105,158.39392499999997,,
2022-06-16,Thursday,130.06,1.1937,155.252622,,
2022-06-17,Friday,130.57,1.1864,154.908248,,start
2022-06-18,Saturday,,,154.908248,imputed from 3125,
2022-06-19,Sunday,,,154.908248,imputed from 3126,
2022-06-20,Monday,126.87,1.1852,150.36632400000002,,
2022-06-21,Tuesday,125.65,1.1862,149.04603,,
2022-06-22,Wednesday,128.86,1.1787,151.88728200000003,,
2022-06-23,Thursday,132.97,1.1788,156.745036,,
2022-06-24,Friday,132.93,1.1764,156.378852,,start
2022-06-25,Saturday,,,156.378852,imputed from 3132,
2022-06-26,Sunday,,,156.378852,imputed from 3133,
2022-06-27,Monday,130.71,1.173,153.32283,,
2022-06-28,Tuesday,128.72,1.1666,150.16475200000002,,
2022-06-29,Wednesday,130.04,1.1576,150.534304,,
2022-06-30,Thursday,127.8,1.1629,148.61862,,
2022-07-01,Friday,132.46,1.1608,153.75956800000003,,start
2022-07-02,Saturday,,,153.75956800000003,imputed from 3139,
2022-07-03,Sunday,,,153.75956800000003,imputed from 3140,
2022-07-04,Monday,131.26,1.1635,152.72100999999998,,
2022-07-05,Tuesday,134.04,1.1583,155.258532,,
2022-07-06,Wednesday,133.51,1.1578,154.57787799999997,,
2022-07-07,Thursday,133.13,1.1711,155.908543,,
2022-07-08,Friday,131.01,1.1755,154.002255,,start
2022-07-09,Saturday,,,154.002255,imputed from 3146,
2022-07-10,Sunday,,,154.002255,imputed from 3147,
2022-07-11,Monday,131.77,1.1694,154.09183800000002,,
2022-07-12,Tuesday,132.27,1.1674,154.411998,,
2022-07-13,Wednesday,132.82,1.164,154.60247999999999,,
2022-07-14,Thursday,132.88,1.1635,154.60587999999998,,
2022-07-15,Friday,131.64,1.1584,152.491776,,start
2022-07-16,Saturday,,,152.491776,imputed from 3153,
2022-07-17,Sunday,,,152.491776,imputed from 3154,
2022-07-18,Monday,130.18,1.1683,152.089294,,
2022-07-19,Tuesday,128.55,1.1622,149.40081,,
2022-07-20,Wednesday,129.77,1.1634,150.97441800000001,,
2022-07-21,Thursday,133.31,1.1603,154.679593,,
2022-07-22,Friday,135.2,1.1542,156.04783999999998,,start
2022-07-23,Saturday,,,156.04783999999998,imputed from 3160,
2022-07-24,Sunday,,,156.04783999999998,imputed from 3161,
2022-07-25,Monday,133.86,1.1618,155.518548,,
2022-07-26,Tuesday,134.69,1.1586,156.051834,,
2022-07-27,Wednesday,133.09,1.167,155.31603,,
2022-07-28,Thursday,136.04,1.1629,158.200916,,
2022-07-29,Friday,136.69,1.1589,158.410041,,start
2022-07-30,Saturday,,,158.410041,imputed from 3167,
2022-07-31,Sunday,,,158.410041,imputed from 3168,
2022-08-01,Monday,140.29,1.1637,163.255473,,
2022-08-02,Tuesday,139.57,1.1646,162.54322200000001,,
2022-08-03,Wednesday,139.33,1.1668,162.57024400000003,,
2022-08-04,Thursday,140.31,1.1614,162.956034,,
2022-08-05,Friday,136.52,1.1611,158.513372,,start
2022-08-06,Saturday,,,158.513372,imputed from 3174,
2022-08-07,Sunday,,,158.513372,imputed from 3175,
2022-08-08,Monday,138.42,1.154,159.73667999999998,,
2022-08-09,Tuesday,137.79,1.1515,158.66518499999998,,
2022-08-10,Wednesday,138.64,1.1514,159.63009599999998,,
2022-08-11,Thursday,135.41,1.1482,155.477762,,
2022-08-12,Friday,133.17,1.1425,152.146725,,start
2022-08-13,Saturday,,,152.146725,imputed from 3181,
2022-08-14,Sunday,,,152.146725,imputed from 3182,
2022-08-15,Monday,135.77,1.1408,154.88641600000003,,
2022-08-16,Tuesday,133.56,1.1486,153.407016,,
2022-08-17,Wednesday,130.99,1.1466,150.19313400000001,,
2022-08-18,Thursday,131.62,1.1415,150.24423,,
2022-08-19,Friday,128.57,1.1345,145.862665,,start
2022-08-20,Saturday,,,145.862665,imputed from 3188,
2022-08-21,Sunday,,,145.862665,imputed from 3189,
2022-08-22,Monday,126.09,1.1347,143.07432300000002,,
2022-08-23,Tuesday,125.14,1.1409,142.77222600000002,,
2022-08-24,Wednesday,123.8,1.1404,141.18152,,
2022-08-25,Thursday,124.47,1.14,141.89579999999998,,
