date,weekday,RX1_Comdty_PX-LAST-CHF,imputed,RX1_Comdty_start
2006-02-12,Sunday,134.13988,imputed from 3102,
2006-02-13,Monday,133.73851,,
2006-02-14,Tuesday,134.12835,,
2006-02-15,Wednesday,133.94474,,
2006-02-16,Thursday,134.07811,,
2006-02-17,Friday,134.87491,,start
2006-02-18,Saturday,134.87491,imputed from 3108,
2006-02-19,Sunday,134.87491,imputed from 3109,
2006-02-20,Monday,134.85348,,
2006-02-21,Tuesday,134.56075,,
2006-02-22,Wednesday,135.06053,,
2006-02-23,Thursday,134.43404,,
2006-02-24,Friday,134.63266,,start
2006-02-25,Saturday,134.63266,imputed from 3115,
2006-02-26,Sunday,134.63266,imputed from 3116,
2006-02-27,Monday,134.46734,,
2006-02-28,Tuesday,134.65278,,
2006-03-01,Wednesday,134.49496,,
2006-03-02,Thursday,133.69449,,
2006-03-03,Friday,133.39125,,start
2006-03-04,Saturday,133.39125,imputed from 3122,
2006-03-05,Sunday,133.39125,imputed from 3123,
2006-03-06,Monday,133.39331,,
2006-03-07,Tuesday,133.22002,,
2006-03-08,Wednesday,132.79836,,
2006-03-09,Thursday,133.24136,,
2006-03-10,Friday,133.08839,,start
2006-03-11,Saturday,133.08839,imputed from 3129,
2006-03-12,Sunday,133.08839,imputed from 3130,
2006-03-13,Monday,133.17806,,
2006-03-14,Tuesday,133.06084,,
2006-03-15,Wednesday,132.99142,,
2006-03-16,Thursday,133.53863,,
2006-03-17,Friday,133.42299,,start
2006-03-18,Saturday,133.42299,imputed from 3136,
2006-03-19,Sunday,133.42299,imputed from 3137,
2006-03-20,Monday,133.66016,,
2006-03-21,Tuesday,133.73729,,
2006-03-22,Wednesday,134.18463,,
2006-03-23,Thursday,133.9875,,
2006-03-24,Friday,134.30632,,start
2006-03-25,Saturday,134.30632,imputed from 3143,
2006-03-26,Sunday,134.30632,imputed from 3144,
2006-03-27,Monday,134.06363,,
2006-03-28,Tuesday,132.87749,,
2006-03-29,Wednesday,133.03133,,
2006-03-30,Thursday,133.02321,,
2006-03-31,Friday,133.49047,,start
2006-04-01,Saturday,133.49047,imputed from 3150,
2006-04-02,Sunday,133.49047,imputed from 3151,
2006-04-03,Monday,132.99493,,
2006-04-04,Tuesday,132.74337,,
2006-04-05,Wednesday,132.33777,,
2006-04-06,Thursday,132.04396,,
2006-04-07,Friday,132.00489,,start
2006-04-08,Saturday,132.00489,imputed from 3157,
2006-04-09,Sunday,132.00489,imputed from 3158,
2006-04-10,Monday,131.94134,,
2006-04-11,Tuesday,132.04558,,
2006-04-12,Wednesday,131.7043,,
2006-04-13,Thursday,130.82686,,
2006-04-14,Friday,130.82686,imputed from 3163,start
2006-04-15,Saturday,130.82686,imputed from 3164,
2006-04-16,Sunday,130.82686,imputed from 3165,
2006-04-17,Monday,130.82686,imputed from 3166,
2006-04-18,Tuesday,130.40981,,
2006-04-19,Wednesday,130.64841,,
2006-04-20,Thursday,131.37995,,
2006-04-21,Friday,131.18882,,start
2006-04-22,Saturday,131.18882,imputed from 3171,
2006-04-23,Sunday,131.18882,imputed from 3172,
2006-04-24,Monday,131.00375,,
2006-04-25,Tuesday,130.73977,,
2006-04-26,Wednesday,131.33495,,
2006-04-27,Thursday,131.18343,,
2006-04-28,Friday,130.45326,,start
2006-04-29,Saturday,130.45326,imputed from 3178,
2006-04-30,Sunday,130.45326,imputed from 3179,
2006-05-01,Monday,130.45326,imputed from 3180,
2006-05-02,Tuesday,129.82559,,
2006-05-03,Wednesday,129.55263,,
2006-05-04,Thursday,129.32204,,
2006-05-05,Friday,129.59563,,start
2006-05-06,Saturday,129.59563,imputed from 3185,
2006-05-07,Sunday,129.59563,imputed from 3186,
2006-05-08,Monday,129.57908,,
2006-05-09,Tuesday,129.20877,,
2006-05-10,Wednesday,129.57065,,
2006-05-11,Thursday,128.8051,,
