date,weekday,NG1_Comdty_PX-LAST-CHF,imputed,NG1_Comdty_start
1998-11-13,Friday,1580.82278,,start
1998-11-14,Saturday,1580.82278,imputed from 455,
1998-11-15,Sunday,1580.82278,imputed from 456,
1998-11-16,Monday,1472.52569,,
1998-11-17,Tuesday,1450.3174,,
1998-11-18,Wednesday,1407.18563,,
1998-11-19,Thursday,1421.13763,,
1998-11-20,Friday,1396.54788,,start
1998-11-21,Saturday,1396.54788,imputed from 462,
1998-11-22,Sunday,1396.54788,imputed from 463,
1998-11-23,Monday,1364.62629,,
1998-11-24,Tuesday,1393.41169,,
1998-11-25,Wednesday,1342.35468,,
1998-11-26,Thursday,1342.35468,imputed from 467,
1998-11-27,Friday,1342.35468,imputed from 467,start
1998-11-28,Saturday,1342.35468,imputed from 469,
1998-11-29,Sunday,1342.35468,imputed from 470,
1998-11-30,Monday,1198.2632,,
1998-12-01,Tuesday,1174.59255,,
1998-12-02,Wednesday,1117.80339,,
1998-12-03,Thursday,1161.92016,,
1998-12-04,Friday,1174.8216,,start
1998-12-05,Saturday,1174.8216,imputed from 476,
1998-12-06,Sunday,1174.8216,imputed from 477,
1998-12-07,Monday,1253.16899,,
1998-12-08,Tuesday,1134.38745,,
1998-12-09,Wednesday,1089.39452,,
1998-12-10,Thursday,1070.2426,,
1998-12-11,Friday,1072.15898,,start
1998-12-12,Saturday,1072.15898,imputed from 483,
1998-12-13,Sunday,1072.15898,imputed from 484,
1998-12-14,Monday,1124.70619,,
1998-12-15,Tuesday,1136.066,,
1998-12-16,Wednesday,1165.2689,,
1998-12-17,Thursday,1208.6005,,
1998-12-18,Friday,1212.74474,,start
1998-12-19,Saturday,1212.74474,imputed from 490,
1998-12-20,Sunday,1212.74474,imputed from 491,
1998-12-21,Monday,1151.50499,,
1998-12-22,Tuesday,1140.9181,,
1998-12-23,Wednesday,1127.83599,,
1998-12-24,Thursday,1123.49924,,
1998-12-25,Friday,1123.49924,imputed from 496,start
1998-12-26,Saturday,1123.49924,imputed from 497,
