date,weekday,OE1_Comdty_PX-LAST-CHF,imputed,OE1_Comdty_start
1998-11-19,Thursday,79.60928,,
1998-11-20,Friday,79.65348,,start
1998-11-21,Saturday,79.65348,imputed from 462,
1998-11-22,Sunday,79.65348,imputed from 463,
1998-11-23,Monday,79.76399,,
1998-11-24,Tuesday,79.79346,,
1998-11-25,Wednesday,79.81556,,
1998-11-26,Thursday,79.8524,,
1998-11-27,Friday,79.92607,,start
1998-11-28,Saturday,79.92607,imputed from 469,
1998-11-29,Sunday,79.92607,imputed from 470,
1998-11-30,Monday,79.94817,,
1998-12-01,Tuesday,79.94817,,
1998-12-02,Wednesday,80.13971,,
1998-12-03,Thursday,80.12498,,
1998-12-04,Friday,80.05868,,start
1998-12-05,Saturday,80.05868,imputed from 476,
1998-12-06,Sunday,80.05868,imputed from 477,
1998-12-07,Monday,80.02925,,
1998-12-08,Tuesday,80.07339,,
1998-12-09,Wednesday,80.23524,,
1998-12-10,Thursday,80.24996,,
1998-12-11,Friday,80.20582,,start
1998-12-12,Saturday,80.20582,imputed from 483,
1998-12-13,Sunday,80.20582,imputed from 484,
1998-12-14,Monday,80.12489,,
1998-12-15,Tuesday,80.10282,,
1998-12-16,Wednesday,80.0881,,
1998-12-17,Thursday,80.10282,,
1998-12-18,Friday,80.16903,,start
1998-12-19,Saturday,80.16903,imputed from 490,
1998-12-20,Sunday,80.16903,imputed from 491,
1998-12-21,Monday,80.11017,,
1998-12-22,Tuesday,79.92625,,
1998-12-23,Wednesday,79.95568,,
1998-12-24,Thursday,79.95568,imputed from 495,
1998-12-25,Friday,79.95568,imputed from 495,start
1998-12-26,Saturday,79.95568,imputed from 497,
1998-12-27,Sunday,79.95568,imputed from 498,
1998-12-28,Monday,79.89682,,
1998-12-29,Tuesday,79.93361,,
1998-12-30,Wednesday,79.99982,,
1998-12-31,Thursday,79.99982,imputed from 502,
1999-01-01,Friday,79.99982,imputed from 502,start
1999-01-02,Saturday,79.99982,imputed from 504,
1999-01-03,Sunday,79.99982,imputed from 505,
1999-01-04,Monday,80.1911,,
1999-01-05,Tuesday,80.19846,,
1999-01-06,Wednesday,80.22053,,
1999-01-07,Thursday,80.23524,,
1999-01-08,Friday,80.30881,,start
1999-01-09,Saturday,80.30881,imputed from 511,
1999-01-10,Sunday,80.30881,imputed from 512,
1999-01-11,Monday,80.22053,,
1999-01-12,Tuesday,80.47802,,
1999-01-13,Wednesday,80.55159,,
